,Chr,Dominance,MutationType
1132,11,recessive,nonsense
1133,22,dominant,nonsense
1134,21,dominant,nonsense
1135,14,dominant,frameshift
1136,1,dominant,silent
1137,7,recessive,frameshift
1138,4,dominant,synonymous
1139,15,dominant,nonsense
1140,19,recessive,nonsense
1141,12,dominant,frameshift
1142,21,recessive,silent
1143,6,dominant,missense
1144,3,recessive,silent
1145,13,recessive,missense
1146,8,dominant,frameshift
1147,12,recessive,frameshift
1148,21,recessive,silent
1149,8,recessive,frameshift
1150,19,recessive,frameshift
1151,22,dominant,frameshift
1152,5,recessive,synonymous
1153,22,recessive,nonsense
1154,9,dominant,frameshift
1155,22,recessive,silent
1156,11,recessive,nonsense
1157,18,dominant,frameshift
1158,21,recessive,frameshift
1159,13,recessive,nonsense
1160,8,dominant,nonsense
1161,22,recessive,silent
1162,19,recessive,frameshift
1163,22,recessive,silent
1164,14,recessive,silent
1165,20,dominant,frameshift
1166,13,recessive,nonsense
1167,19,dominant,frameshift
1168,3,recessive,synonymous
1169,17,recessive,nonsense
1170,11,dominant,synonymous
1171,5,dominant,frameshift
1172,5,recessive,silent
1173,3,dominant,missense
1174,4,recessive,silent
1175,14,recessive,synonymous
1176,8,recessive,synonymous
1177,6,recessive,silent
1178,6,dominant,missense
1179,18,recessive,missense
1180,2,dominant,frameshift
1181,21,recessive,silent
1182,14,recessive,missense
1183,11,dominant,synonymous
1184,11,dominant,synonymous
1185,20,recessive,silent
1186,9,dominant,nonsense
1187,15,dominant,synonymous
1188,15,recessive,silent
1189,19,dominant,missense
1190,21,recessive,synonymous
1191,15,dominant,silent
1192,6,dominant,synonymous
1193,18,recessive,missense
1194,13,recessive,synonymous
1195,18,dominant,nonsense
1196,11,dominant,missense
1197,1,recessive,frameshift
1198,20,recessive,silent
1199,21,dominant,missense
1200,16,dominant,synonymous
1201,9,recessive,synonymous
1202,17,recessive,missense
1203,9,recessive,nonsense
1204,15,dominant,missense
1205,2,recessive,nonsense
1206,12,dominant,nonsense
1207,3,dominant,frameshift
1208,13,recessive,nonsense
1209,2,recessive,frameshift
1210,12,dominant,silent
1211,17,recessive,frameshift
1212,2,recessive,missense
1213,19,dominant,synonymous
1214,11,dominant,synonymous
1215,1,recessive,nonsense
1216,6,dominant,frameshift
1217,5,dominant,missense
1218,21,dominant,missense
1219,10,recessive,synonymous
1220,1,dominant,synonymous
1221,8,recessive,synonymous
1222,19,dominant,missense
1223,17,recessive,nonsense
1224,17,recessive,nonsense
1225,9,dominant,synonymous
1226,4,dominant,synonymous
1227,3,recessive,synonymous
1228,10,dominant,synonymous
1229,10,dominant,frameshift
1230,4,recessive,silent
1231,7,recessive,silent
1232,8,recessive,nonsense
1233,4,dominant,frameshift
1234,17,dominant,silent
1235,15,dominant,frameshift
1236,5,recessive,frameshift
1237,3,dominant,silent
1238,13,dominant,frameshift
1239,18,recessive,silent
1240,2,dominant,synonymous
1241,1,dominant,nonsense
1242,11,dominant,missense
1243,22,recessive,synonymous
1244,11,dominant,nonsense
1245,13,dominant,synonymous
1246,14,dominant,silent
1247,1,dominant,frameshift
1248,7,recessive,nonsense
1249,8,recessive,missense
1250,22,recessive,frameshift
1251,3,dominant,synonymous
1252,17,dominant,nonsense
1253,15,dominant,frameshift
1254,15,dominant,missense
1255,17,dominant,nonsense
1256,4,dominant,nonsense
1257,20,recessive,nonsense
1258,11,dominant,missense
1259,4,dominant,silent
1260,5,recessive,nonsense
1261,16,dominant,silent
1262,11,dominant,silent
1263,20,dominant,nonsense
1264,20,recessive,synonymous
1265,6,recessive,silent
1266,11,recessive,frameshift
1267,15,recessive,synonymous
1268,20,dominant,missense
1269,12,recessive,silent
1270,1,recessive,missense
1271,7,recessive,missense
1272,10,dominant,frameshift
1273,10,recessive,silent
1274,7,dominant,silent
1275,1,recessive,nonsense
1276,18,dominant,synonymous
1277,12,dominant,synonymous
1278,17,dominant,frameshift
1279,12,dominant,nonsense
1280,11,dominant,nonsense
1281,15,dominant,missense
1282,2,recessive,missense
1283,21,dominant,nonsense
1284,17,recessive,silent
1285,6,recessive,synonymous
1286,6,recessive,synonymous
1287,2,dominant,missense
1288,11,dominant,synonymous
1289,1,recessive,nonsense
1290,15,recessive,synonymous
1291,6,dominant,missense
1292,19,dominant,silent
1293,10,dominant,synonymous
1294,5,recessive,frameshift
1295,7,dominant,nonsense
1296,1,recessive,frameshift
1297,5,recessive,nonsense
1298,16,recessive,frameshift
1299,3,recessive,nonsense
1300,13,dominant,frameshift
1301,14,dominant,nonsense
1302,13,dominant,synonymous
1303,12,recessive,synonymous
1304,20,recessive,frameshift
1305,10,dominant,silent
1306,6,recessive,synonymous
1307,16,dominant,silent
1308,6,dominant,silent
1309,13,recessive,frameshift
1310,22,dominant,silent
1311,16,recessive,silent
1312,2,recessive,frameshift
1313,19,dominant,silent
1314,22,dominant,synonymous
1315,1,dominant,synonymous
1316,3,recessive,synonymous
1317,13,recessive,frameshift
1318,7,recessive,silent
1319,22,recessive,synonymous
1320,18,dominant,silent
1321,13,recessive,frameshift
1322,15,recessive,missense
1323,19,dominant,nonsense
1324,20,dominant,silent
1325,19,recessive,nonsense
1326,15,dominant,synonymous
1327,7,dominant,nonsense
1328,12,dominant,silent
1329,10,recessive,synonymous
1330,20,recessive,synonymous
1331,7,dominant,nonsense
1332,7,recessive,synonymous
1333,14,dominant,missense
1334,19,recessive,silent
1335,20,dominant,silent
1336,5,dominant,synonymous
1337,8,recessive,synonymous
1338,18,recessive,frameshift
1339,22,dominant,silent
1340,5,recessive,synonymous
1341,9,recessive,silent
1342,22,dominant,missense
1343,17,recessive,synonymous
1344,5,recessive,silent
1345,21,dominant,silent
1346,3,dominant,nonsense
1347,22,dominant,silent
1348,4,recessive,nonsense
1349,16,recessive,missense
1350,10,recessive,frameshift
1351,22,recessive,frameshift
1352,11,dominant,frameshift
1353,1,dominant,silent
1354,21,dominant,nonsense
1355,8,dominant,synonymous
1356,13,recessive,missense
1357,18,dominant,nonsense
1358,20,dominant,silent
1359,15,dominant,frameshift
1360,7,recessive,silent
1361,22,recessive,missense
1362,1,dominant,missense
1363,15,recessive,missense
1364,13,dominant,synonymous
1365,18,dominant,nonsense
1366,17,dominant,frameshift
1367,10,dominant,missense
1368,17,dominant,frameshift
1369,18,dominant,missense
1370,6,dominant,nonsense
1371,1,recessive,nonsense
1372,2,recessive,missense
1373,9,recessive,synonymous
1374,4,recessive,silent
1375,8,dominant,missense
1376,2,recessive,missense
1377,5,dominant,missense
1378,1,recessive,nonsense
1379,18,recessive,missense
1380,20,dominant,nonsense
1381,7,dominant,silent
1382,9,recessive,nonsense
1383,14,recessive,nonsense
1384,9,recessive,nonsense
1385,17,recessive,frameshift
1386,16,recessive,nonsense
1387,4,dominant,synonymous
1388,6,recessive,missense
1389,11,dominant,frameshift
1390,5,dominant,nonsense
1391,17,recessive,silent
1392,16,recessive,frameshift
1393,9,recessive,missense
1394,1,recessive,missense
1395,22,dominant,synonymous
1396,12,dominant,frameshift
1397,3,dominant,synonymous
1398,12,dominant,nonsense
1399,12,recessive,silent
1400,8,dominant,synonymous
1401,12,dominant,missense
1402,18,recessive,nonsense
1403,19,dominant,silent
1404,3,recessive,frameshift
1405,16,recessive,nonsense
1406,19,recessive,missense
1407,17,recessive,frameshift
1408,15,recessive,missense
1409,2,recessive,nonsense
1410,14,recessive,frameshift
1411,2,recessive,frameshift
1412,7,recessive,synonymous
1413,22,recessive,nonsense
1414,9,recessive,nonsense
1415,12,recessive,frameshift
1416,17,recessive,missense
1417,17,recessive,frameshift
1418,11,dominant,synonymous
1419,6,dominant,synonymous
1420,5,recessive,silent
1421,12,dominant,frameshift
1422,19,recessive,frameshift
1423,15,recessive,missense
1424,20,recessive,silent
1425,9,dominant,missense
1426,12,recessive,silent
1427,8,dominant,silent
1428,4,recessive,nonsense
1429,13,dominant,frameshift
1430,8,recessive,nonsense
1431,12,recessive,synonymous
1432,21,recessive,synonymous
1433,14,recessive,synonymous
1434,9,dominant,frameshift
1435,12,dominant,nonsense
1436,11,dominant,frameshift
1437,6,recessive,nonsense
1438,1,recessive,frameshift
1439,5,recessive,nonsense
1440,1,recessive,silent
1441,3,recessive,missense
1442,13,dominant,silent
1443,11,dominant,nonsense
1444,5,recessive,silent
1445,14,recessive,frameshift
1446,7,dominant,synonymous
1447,6,dominant,synonymous
1448,22,recessive,silent
1449,1,recessive,synonymous
1450,8,recessive,synonymous
1451,12,dominant,frameshift
1452,13,recessive,nonsense
1453,22,dominant,nonsense
1454,4,dominant,missense
1455,1,recessive,missense
1456,16,recessive,silent
1457,17,dominant,silent
1458,20,dominant,silent
1459,19,recessive,frameshift
1460,8,recessive,silent
1461,16,dominant,silent
1462,12,dominant,missense
1463,15,recessive,silent
1464,16,dominant,silent
1465,17,recessive,nonsense
1466,8,recessive,missense
1467,19,recessive,nonsense
1468,19,dominant,silent
1469,4,recessive,synonymous
1470,13,dominant,silent
1471,11,recessive,missense
1472,10,recessive,nonsense
1473,18,recessive,nonsense
1474,2,dominant,missense
1475,8,recessive,silent
1476,3,dominant,synonymous
1477,6,dominant,nonsense
1478,18,dominant,nonsense
1479,1,recessive,synonymous
1480,19,recessive,silent
1481,17,recessive,nonsense
1482,20,recessive,frameshift
1483,1,dominant,missense
1484,11,recessive,synonymous
1485,21,recessive,missense
1486,17,dominant,missense
1487,19,recessive,missense
1488,11,recessive,nonsense
1489,2,dominant,frameshift
1490,18,dominant,nonsense
1491,14,recessive,nonsense
1492,1,recessive,missense
1493,6,recessive,silent
1494,21,recessive,synonymous
1495,15,recessive,frameshift
1496,8,dominant,missense
1497,6,dominant,missense
1498,1,recessive,missense
1499,12,dominant,missense
1500,8,dominant,silent
1501,6,dominant,nonsense
1502,9,recessive,silent
1503,6,recessive,frameshift
1504,10,recessive,synonymous
1505,22,dominant,missense
1506,12,recessive,synonymous
1507,16,recessive,synonymous
1508,10,dominant,missense
1509,19,dominant,silent
1510,8,recessive,missense
1511,12,recessive,frameshift
1512,1,recessive,missense
1513,17,recessive,missense
1514,16,recessive,frameshift
1515,9,recessive,missense
1516,4,recessive,frameshift
1517,5,dominant,silent
1518,10,dominant,missense
1519,6,recessive,frameshift
1520,18,dominant,missense
1521,1,recessive,silent
1522,17,dominant,frameshift
1523,9,dominant,missense
1524,9,recessive,silent
1525,3,recessive,frameshift
1526,10,recessive,frameshift
1527,22,recessive,frameshift
1528,1,recessive,missense
1529,12,dominant,synonymous
1530,19,dominant,nonsense
1531,12,recessive,nonsense
1532,14,dominant,frameshift
1533,4,recessive,nonsense
1534,3,recessive,synonymous
1535,9,recessive,nonsense
1536,19,recessive,silent
1537,11,dominant,silent
1538,4,dominant,silent
1539,7,dominant,silent
1540,14,dominant,missense
1541,16,recessive,frameshift
1542,8,recessive,synonymous
1543,16,recessive,frameshift
1544,8,dominant,frameshift
1545,18,dominant,frameshift
1546,17,dominant,missense
1547,5,dominant,synonymous
1548,12,dominant,nonsense
1549,4,recessive,synonymous
1550,18,recessive,frameshift
1551,2,recessive,silent
1552,11,recessive,nonsense
1553,19,recessive,silent
1554,4,recessive,frameshift
1555,15,dominant,synonymous
1556,3,recessive,frameshift
1557,19,dominant,frameshift
1558,21,dominant,nonsense
1559,2,dominant,nonsense
1560,19,recessive,silent
1561,5,dominant,synonymous
1562,11,dominant,frameshift
1563,8,dominant,missense
1564,12,dominant,silent
1565,19,recessive,synonymous
1566,22,recessive,nonsense
1567,10,recessive,missense
1568,4,dominant,silent
1569,17,dominant,synonymous
1570,9,dominant,synonymous
1571,20,dominant,silent
1572,11,recessive,synonymous
1573,10,recessive,synonymous
1574,2,dominant,synonymous
1575,4,dominant,synonymous
1576,1,recessive,missense
1577,11,recessive,synonymous
1578,13,recessive,nonsense
1579,16,recessive,silent
1580,18,recessive,nonsense
1581,21,recessive,nonsense
1582,4,dominant,nonsense
1583,10,recessive,synonymous
1584,6,recessive,silent
1585,6,dominant,synonymous
1586,9,dominant,silent
1587,21,recessive,silent
1588,17,dominant,missense
1589,1,dominant,silent
1590,5,dominant,missense
1591,8,dominant,nonsense
1592,4,recessive,frameshift
1593,16,recessive,synonymous
1594,14,recessive,frameshift
1595,5,dominant,missense
1596,1,recessive,synonymous
1597,4,dominant,silent
1598,15,recessive,synonymous
1599,9,recessive,synonymous
1600,7,recessive,frameshift
1601,12,recessive,frameshift
1602,5,recessive,synonymous
1603,17,dominant,missense
1604,2,recessive,missense
1605,10,dominant,frameshift
1606,9,recessive,synonymous
1607,16,recessive,nonsense
1608,15,recessive,missense
1609,15,dominant,nonsense
1610,4,dominant,synonymous
1611,11,dominant,synonymous
1612,11,recessive,silent
1613,10,dominant,frameshift
1614,2,dominant,nonsense
1615,21,recessive,nonsense
1616,11,recessive,missense
1617,22,recessive,frameshift
1618,5,dominant,synonymous
1619,2,dominant,missense
1620,22,dominant,missense
1621,11,recessive,frameshift
1622,13,recessive,frameshift
1623,1,recessive,missense
1624,21,recessive,silent
1625,4,dominant,silent
1626,2,recessive,frameshift
1627,15,dominant,missense
1628,8,recessive,silent
1629,20,recessive,frameshift
1630,12,dominant,frameshift
1631,12,recessive,silent
1632,9,recessive,silent
1633,22,dominant,synonymous
1634,13,dominant,nonsense
1635,22,recessive,nonsense
1636,17,recessive,synonymous
1637,2,dominant,synonymous
1638,19,recessive,synonymous
1639,13,recessive,nonsense
1640,8,dominant,nonsense
1641,3,recessive,missense
1642,8,dominant,missense
1643,15,recessive,nonsense
1644,6,recessive,synonymous
1645,9,recessive,silent
1646,3,dominant,nonsense
1647,4,recessive,silent
1648,6,dominant,synonymous
1649,22,recessive,missense
1650,17,dominant,frameshift
1651,13,dominant,silent
1652,4,dominant,missense
1653,8,recessive,synonymous
1654,20,recessive,nonsense
1655,17,recessive,frameshift
1656,7,dominant,missense
1657,13,dominant,missense
1658,9,recessive,synonymous
1659,2,dominant,nonsense
1660,19,recessive,nonsense
1661,8,dominant,frameshift
1662,16,dominant,silent
1663,17,dominant,nonsense
1664,21,dominant,silent
1665,16,recessive,frameshift
1666,16,dominant,synonymous
1667,11,recessive,nonsense
1668,22,recessive,nonsense
1669,9,recessive,missense
1670,9,recessive,nonsense
1671,7,dominant,nonsense
1672,18,recessive,frameshift
1673,20,recessive,silent
1674,22,dominant,missense
1675,13,recessive,missense
1676,5,dominant,silent
1677,6,dominant,nonsense
1678,3,recessive,frameshift
1679,13,recessive,silent
1680,5,recessive,missense
1681,16,dominant,nonsense
1682,15,recessive,silent
1683,2,recessive,missense
1684,8,recessive,synonymous
1685,5,dominant,synonymous
1686,17,recessive,nonsense
1687,11,dominant,nonsense
1688,8,dominant,frameshift
1689,11,recessive,synonymous
1690,21,dominant,nonsense
1691,5,recessive,nonsense
1692,5,dominant,synonymous
1693,4,recessive,synonymous
1694,18,recessive,missense
1695,12,dominant,frameshift
1696,4,recessive,silent
1697,5,dominant,nonsense
1698,1,recessive,nonsense
1699,16,dominant,missense
1700,18,recessive,missense
1701,17,recessive,nonsense
1702,8,dominant,silent
1703,15,dominant,synonymous
1704,4,recessive,frameshift
1705,14,dominant,silent
1706,16,dominant,nonsense
1707,16,recessive,frameshift
1708,9,recessive,synonymous
1709,2,dominant,frameshift
1710,21,recessive,missense
1711,10,dominant,frameshift
1712,10,dominant,nonsense
1713,15,dominant,silent
1714,7,recessive,frameshift
1715,4,dominant,synonymous
1716,8,recessive,nonsense
1717,2,recessive,silent
1718,15,recessive,frameshift
1719,9,recessive,missense
1720,4,recessive,synonymous
1721,21,recessive,synonymous
1722,20,dominant,synonymous
1723,9,dominant,silent
1724,21,dominant,nonsense
1725,14,recessive,missense
1726,9,recessive,frameshift
1727,3,recessive,frameshift
1728,21,dominant,frameshift
1729,6,recessive,silent
1730,19,dominant,nonsense
1731,6,dominant,synonymous
1732,3,dominant,silent
1733,14,dominant,missense
1734,13,recessive,nonsense
1735,8,dominant,nonsense
1736,19,dominant,frameshift
1737,14,recessive,frameshift
1738,4,dominant,silent
1739,17,dominant,nonsense
1740,12,recessive,silent
1741,18,dominant,frameshift
1742,20,recessive,synonymous
1743,22,recessive,nonsense
1744,11,dominant,frameshift
1745,3,dominant,missense
1746,1,dominant,frameshift
1747,19,recessive,nonsense
1748,18,dominant,missense
1749,5,dominant,silent
1750,3,dominant,frameshift
1751,5,recessive,nonsense
1752,1,recessive,silent
1753,14,recessive,frameshift
1754,3,dominant,synonymous
1755,6,dominant,silent
1756,2,dominant,silent
1757,22,dominant,nonsense
1758,1,recessive,frameshift
1759,7,dominant,silent
1760,12,recessive,missense
1761,2,recessive,frameshift
1762,22,dominant,frameshift
1763,17,recessive,silent
1764,12,recessive,synonymous
1765,18,recessive,silent
1766,16,dominant,frameshift
1767,19,recessive,missense
1768,1,dominant,nonsense
1769,21,recessive,nonsense
1770,6,recessive,frameshift
1771,7,recessive,synonymous
1772,5,recessive,missense
1773,3,dominant,missense
1774,15,dominant,synonymous
1775,7,dominant,missense
1776,19,recessive,nonsense
1777,14,recessive,silent
1778,5,recessive,silent
1779,9,dominant,silent
1780,22,dominant,nonsense
1781,11,recessive,synonymous
1782,9,dominant,missense
1783,8,dominant,nonsense
1784,3,dominant,synonymous
1785,8,dominant,synonymous
1786,5,recessive,missense
1787,1,dominant,nonsense
1788,15,recessive,nonsense
1789,21,recessive,missense
1790,6,dominant,silent
1791,9,dominant,silent
1792,20,dominant,synonymous
1793,16,recessive,missense
1794,11,dominant,frameshift
1795,22,recessive,nonsense
1796,9,recessive,silent
1797,7,recessive,synonymous
1798,20,dominant,nonsense
1799,12,dominant,silent
1800,22,recessive,synonymous
1801,3,recessive,frameshift
1802,7,recessive,synonymous
1803,19,dominant,synonymous
1804,20,recessive,synonymous
1805,8,dominant,synonymous
1806,3,dominant,frameshift
1807,9,recessive,frameshift
1808,20,dominant,nonsense
1809,18,dominant,silent
1810,5,dominant,nonsense
1811,16,dominant,synonymous
1812,14,dominant,nonsense
1813,10,dominant,frameshift
1814,4,dominant,synonymous
1815,10,recessive,synonymous
1816,18,dominant,silent
1817,18,dominant,synonymous
1818,18,dominant,synonymous
1819,18,recessive,missense
1820,1,recessive,frameshift
1821,19,recessive,synonymous
1822,2,dominant,frameshift
1823,11,dominant,synonymous
1824,3,dominant,missense
1825,17,dominant,frameshift
1826,14,recessive,synonymous
1827,8,recessive,silent
1828,3,recessive,synonymous
1829,4,dominant,missense
1830,12,dominant,synonymous
1831,10,recessive,missense
1832,13,recessive,frameshift
1833,5,dominant,frameshift
1834,17,recessive,nonsense
1835,18,recessive,frameshift
1836,11,recessive,nonsense
1837,7,recessive,synonymous
1838,18,recessive,nonsense
1839,20,recessive,missense
1840,12,recessive,synonymous
1841,4,dominant,synonymous
1842,2,recessive,nonsense
1843,21,recessive,frameshift
1844,18,recessive,silent
1845,1,dominant,frameshift
1846,11,dominant,silent
1847,6,dominant,synonymous
1848,10,recessive,frameshift
1849,11,dominant,silent
1850,18,dominant,missense
1851,8,recessive,synonymous
1852,18,dominant,nonsense
1853,18,recessive,frameshift
1854,7,recessive,nonsense
1855,14,dominant,frameshift
1856,8,recessive,frameshift
1857,5,dominant,silent
1858,13,dominant,nonsense
1859,10,dominant,frameshift
1860,10,dominant,frameshift
1861,12,dominant,silent
1862,1,dominant,frameshift
1863,16,dominant,synonymous
1864,14,recessive,nonsense
1865,19,recessive,synonymous
1866,22,recessive,frameshift
1867,10,recessive,synonymous
1868,15,dominant,missense
1869,1,dominant,silent
1870,11,dominant,silent
1871,15,recessive,nonsense
1872,7,dominant,missense
1873,1,dominant,nonsense
1874,18,recessive,nonsense
1875,12,recessive,synonymous
1876,12,recessive,synonymous
1877,22,recessive,missense
1878,21,recessive,missense
1879,19,recessive,frameshift
1880,18,recessive,nonsense
1881,3,dominant,synonymous
1882,22,recessive,frameshift
1883,21,recessive,synonymous
1884,10,recessive,missense
1885,20,dominant,missense
1886,3,recessive,frameshift
1887,3,recessive,frameshift
1888,8,dominant,frameshift
1889,9,dominant,frameshift
1890,8,recessive,frameshift
1891,1,recessive,synonymous
1892,1,dominant,nonsense
1893,12,recessive,synonymous
1894,1,dominant,silent
1895,3,recessive,frameshift
1896,16,dominant,silent
1897,1,dominant,synonymous
1898,17,dominant,frameshift
1899,12,dominant,synonymous
1900,17,dominant,frameshift
1901,7,dominant,frameshift
1902,4,recessive,frameshift
1903,11,dominant,frameshift
1904,9,dominant,frameshift
1905,21,dominant,silent
1906,18,dominant,missense
1907,9,recessive,nonsense
1908,6,recessive,nonsense
1909,10,recessive,missense
1910,6,dominant,frameshift
1911,10,dominant,nonsense
1912,3,dominant,synonymous
1913,9,dominant,synonymous
1914,20,dominant,synonymous
1915,3,dominant,synonymous
1916,10,recessive,missense
1917,2,recessive,missense
1918,20,recessive,silent
1919,20,dominant,synonymous
1920,21,recessive,synonymous
1921,19,recessive,silent
1922,10,dominant,nonsense
1923,18,dominant,synonymous
1924,13,dominant,frameshift
1925,17,recessive,silent
1926,6,dominant,silent
1927,8,recessive,silent
1928,21,recessive,synonymous
1929,15,dominant,silent
1930,13,dominant,nonsense
1931,4,recessive,nonsense
1932,2,recessive,missense
1933,5,dominant,synonymous
1934,18,recessive,missense
1935,20,dominant,missense
1936,12,dominant,synonymous
1937,8,recessive,synonymous
1938,20,recessive,frameshift
1939,11,recessive,missense
1940,7,dominant,nonsense
1941,7,recessive,missense
1942,18,dominant,nonsense
1943,13,dominant,silent
1944,5,recessive,nonsense
1945,5,dominant,nonsense
1946,21,recessive,frameshift
1947,8,recessive,nonsense
1948,4,dominant,silent
1949,12,recessive,silent
1950,19,dominant,silent
1951,6,dominant,frameshift
1952,6,dominant,missense
1953,11,dominant,nonsense
1954,15,recessive,nonsense
1955,22,recessive,nonsense
1956,7,recessive,missense
1957,22,recessive,nonsense
1958,15,recessive,frameshift
1959,1,recessive,synonymous
1960,2,recessive,nonsense
1961,20,recessive,silent
1962,15,recessive,missense
1963,7,recessive,nonsense
1964,12,dominant,synonymous
1965,19,recessive,silent
1966,3,dominant,synonymous
1967,3,recessive,silent
1968,2,dominant,synonymous
1969,14,dominant,synonymous
1970,11,dominant,silent
1971,13,dominant,synonymous
1972,7,recessive,silent
1973,22,recessive,missense
1974,1,dominant,nonsense
1975,8,recessive,synonymous
1976,8,dominant,synonymous
1977,18,dominant,missense
1978,8,dominant,synonymous
1979,5,dominant,frameshift
1980,10,recessive,frameshift
1981,15,dominant,synonymous
1982,5,recessive,missense
1983,16,dominant,synonymous
1984,19,recessive,frameshift
1985,14,recessive,silent
1986,14,dominant,frameshift
1987,22,recessive,silent
1988,22,dominant,frameshift
1989,20,dominant,missense
1990,21,recessive,silent
1991,1,dominant,frameshift
1992,20,recessive,frameshift
1993,18,recessive,frameshift
1994,10,recessive,nonsense
1995,19,dominant,missense
1996,17,recessive,synonymous
1997,10,dominant,nonsense
1998,12,recessive,silent
1999,7,recessive,synonymous
2000,4,recessive,frameshift
2001,2,dominant,frameshift
2002,18,dominant,missense
2003,19,recessive,synonymous
2004,2,recessive,missense
2005,21,dominant,missense
2006,5,dominant,missense
2007,7,dominant,missense
2008,8,dominant,silent
2009,16,dominant,silent
2010,1,recessive,frameshift
2011,5,dominant,missense
2012,2,recessive,nonsense
2013,18,dominant,nonsense
2014,14,dominant,frameshift
2015,10,recessive,silent
2016,7,dominant,silent
2017,19,recessive,missense
2018,10,recessive,silent
2019,20,dominant,missense
2020,7,dominant,frameshift
2021,3,recessive,nonsense
2022,11,recessive,synonymous
2023,22,recessive,frameshift
2024,10,dominant,silent
2025,7,dominant,missense
2026,10,dominant,synonymous
2027,15,dominant,missense
2028,22,recessive,nonsense
2029,20,recessive,nonsense
2030,18,recessive,missense
2031,20,recessive,missense
2032,19,recessive,nonsense
2033,9,recessive,missense
2034,10,recessive,synonymous
2035,15,recessive,silent
2036,21,dominant,frameshift
2037,2,recessive,synonymous
2038,4,dominant,silent
2039,13,dominant,synonymous
2040,1,recessive,synonymous
2041,10,dominant,frameshift
2042,18,dominant,synonymous
2043,22,dominant,silent
2044,22,recessive,synonymous
2045,20,recessive,nonsense
2046,2,recessive,frameshift
2047,21,recessive,synonymous
2048,20,recessive,frameshift
2049,20,recessive,frameshift
2050,3,dominant,nonsense
2051,14,dominant,synonymous
2052,15,recessive,nonsense
2053,13,dominant,nonsense
2054,9,recessive,silent
2055,14,dominant,frameshift
2056,4,dominant,missense
2057,15,recessive,nonsense
2058,12,dominant,missense
2059,22,recessive,synonymous
2060,5,recessive,frameshift
2061,19,recessive,missense
2062,10,recessive,nonsense
2063,6,recessive,silent
2064,19,dominant,missense
2065,17,dominant,synonymous
2066,21,recessive,missense
2067,6,dominant,missense
2068,14,dominant,missense
2069,17,recessive,missense
2070,4,dominant,nonsense
2071,4,dominant,missense
2072,22,dominant,nonsense
2073,18,dominant,frameshift
2074,6,recessive,silent
2075,12,recessive,synonymous
2076,11,dominant,missense
2077,14,recessive,silent
2078,16,dominant,frameshift
2079,5,recessive,frameshift
2080,13,recessive,frameshift
2081,3,dominant,silent
2082,18,recessive,missense
2083,20,dominant,synonymous
2084,12,dominant,silent
2085,21,recessive,synonymous
2086,3,recessive,synonymous
2087,2,dominant,nonsense
2088,7,recessive,silent
2089,19,recessive,missense
2090,1,recessive,frameshift
2091,22,dominant,silent
2092,9,recessive,synonymous
2093,18,dominant,synonymous
2094,15,recessive,nonsense
2095,8,recessive,missense
2096,18,dominant,nonsense
2097,9,recessive,silent
2098,20,dominant,synonymous
2099,15,dominant,missense
2100,7,recessive,nonsense
2101,14,dominant,missense
2102,6,recessive,missense
2103,4,dominant,synonymous
2104,5,recessive,nonsense
2105,20,recessive,synonymous
2106,20,recessive,nonsense
2107,12,recessive,frameshift
2108,11,dominant,missense
2109,9,dominant,silent
2110,17,dominant,synonymous
2111,14,recessive,nonsense
2112,9,recessive,synonymous
2113,22,dominant,nonsense
2114,2,dominant,missense
2115,21,dominant,missense
2116,6,recessive,nonsense
2117,18,recessive,nonsense
2118,1,dominant,nonsense
2119,17,dominant,silent
2120,10,dominant,frameshift
2121,22,dominant,silent
2122,12,recessive,synonymous
2123,9,recessive,missense
2124,11,dominant,frameshift
2125,14,recessive,synonymous
2126,15,dominant,synonymous
2127,20,recessive,nonsense
2128,6,dominant,nonsense
2129,10,dominant,silent
2130,11,recessive,synonymous
2131,20,recessive,silent
2132,12,dominant,missense
2133,20,dominant,synonymous
2134,8,dominant,missense
2135,6,recessive,silent
2136,4,dominant,nonsense
2137,8,recessive,synonymous
2138,16,dominant,missense
2139,1,dominant,silent
2140,21,recessive,missense
2141,17,recessive,missense
2142,18,dominant,synonymous
2143,22,recessive,nonsense
2144,4,dominant,synonymous
2145,7,dominant,synonymous
2146,5,dominant,silent
2147,17,dominant,synonymous
2148,13,dominant,synonymous
2149,1,recessive,frameshift
2150,9,recessive,nonsense
2151,19,recessive,nonsense
2152,19,recessive,missense
2153,1,dominant,nonsense
2154,16,recessive,silent
2155,12,recessive,silent
2156,16,recessive,nonsense
2157,22,dominant,synonymous
2158,21,dominant,frameshift
2159,19,dominant,frameshift
2160,18,recessive,nonsense
2161,6,recessive,silent
2162,5,dominant,synonymous
2163,5,dominant,missense
2164,6,dominant,nonsense
2165,10,dominant,frameshift
2166,2,dominant,silent
2167,5,dominant,nonsense
2168,2,dominant,synonymous
2169,22,recessive,nonsense
2170,22,dominant,missense
2171,13,dominant,nonsense
2172,4,recessive,frameshift
2173,4,recessive,silent
2174,15,recessive,frameshift
2175,19,recessive,silent
2176,6,dominant,frameshift
2177,13,recessive,frameshift
2178,8,recessive,missense
2179,5,recessive,silent
2180,5,recessive,silent
2181,13,dominant,missense
2182,16,dominant,missense
2183,20,dominant,synonymous
2184,18,dominant,silent
2185,1,dominant,silent
2186,1,recessive,silent
2187,21,recessive,nonsense
